 Valores aprovados da produção SUS (por Prestador) - Conceito de Período de Competência - Amazonas
Valor bruto por Tipo de Despesa e Ano Competência
Período:Dez/1996-Dez/2007
"Tipo de Despesa";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"Intern.Hosp. (Pago p/MS)";1437197,46;18647545,37;24930449,47;33850495,44;37250270,31;37657768,80;43585724,92;50552634,61;4493797,84;-;-;-;252405884,22
"Atend.Ambul. (Pago p/MS)";2899583,94;41433364,56;40065558,12;49625614,34;55474797,26;59176228,80;70259653,19;83487295,33;7832270,43;-;-;-;410254365,97
"Intern.Hosp. (Pago p/mun)";-;-;48808,87;340081,38;1438839,80;2157977,32;2591719,15;2995457,19;4151643,58;5597466,38;8649077,28;10383798,99;38354869,94
"Atend.Ambul. (Pago p/mun)";-;-;7235262,20;11902971,41;13159656,80;956583,62;1157937,45;1322540,98;2447183,72;5125139,41;8047181,51;8396903,40;59751360,50
"Intern.Hosp. (Pago p/est)";-;-;-;-;-;-;-;-;57364612,36;67017877,67;73869053,66;83401586,96;281653130,65
"Atend.Ambul. (Pago p/est)";-;-;-;-;-;-;-;-;102194357,64;124056139,39;130063522,82;142777080,51;499091100,36
"Total";4336781,40;60080909,93;72280078,66;95719162,57;107323564,17;99948558,54;117595034,71;138357928,11;178483865,57;201796622,85;220628835,27;244959369,86;1541510711,64
 Fonte: Ministério da Saúde - SIH/SUS, SIA/SUS e Fundo Nacional de Saúde
 Observação: Os estabelecimentos assinalados com asterisco indicam que, para esta raiz de CGC, há outros estabelecimentos
 cadastrados com razão social diferente. Veja as Notas Técnicas.
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
