 Valores aprovados da produção SUS (por Prestador) - Conceito de Período de Competência - Amapá
Valor bruto por Tipo de Despesa e Ano Competência
Período:Dez/1996-Dez/2007
"Tipo de Despesa";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"Intern.Hosp. (Pago p/MS)";216428,46;2660138,90;3565339,82;5295848,16;7667757,22;8614591,03;7933343,72;8331377,03;901377,20;-;-;-;45186201,54
"Atend.Ambul. (Pago p/MS)";452867,98;5524978,70;4877207,73;7659180,38;9117812,36;7201859,39;9468341,69;11964360,11;-;-;-;-;56266608,34
"Atend.Ambul. (Pago p/mun)";-;-;946475,43;2957177,07;4054442,07;1037281,93;1098766,28;1540456,95;3532972,89;2600201,84;2445000,67;2209557,71;22422332,84
"Intern.Hosp. (Pago p/est)";-;-;-;-;-;-;-;-;10213986,56;10995229,41;13653087,44;13666201,36;48528504,77
"Atend.Ambul. (Pago p/est)";-;-;-;-;-;-;-;111954,80;13299044,84;13532941,84;14824844,37;19760616,38;61529402,23
"Total";669296,44;8185117,60;9389022,98;15912205,61;20840011,65;16853732,35;18500451,69;21948148,89;27947381,49;27128373,09;30922932,48;35636375,45;233933049,72
 Fonte: Ministério da Saúde - SIH/SUS, SIA/SUS e Fundo Nacional de Saúde
 Observação: Os estabelecimentos assinalados com asterisco indicam que, para esta raiz de CGC, há outros estabelecimentos
 cadastrados com razão social diferente. Veja as Notas Técnicas.
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
