 Valores aprovados da produção SUS (por Prestador) - Conceito de Período de Competência - Bahia
Valor bruto por Tipo de Despesa e Ano Competência
Período:Dez/1996-Dez/2007
"Tipo de Despesa";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"Intern.Hosp. (Pago p/MS)";15520514,35;191928856,50;238896356,49;292302919,49;300886945,20;279558187,02;284627436,18;229070527,90;-;-;-;-;1832791743,13
"Atend.Ambul. (Pago p/MS)";15955212,21;198894092,18;169218576,64;213961115,70;287401885,56;305561841,14;335032834,01;276004772,19;-;-;-;-;1802030329,63
"Intern.Hosp. (Pago p/mun)";-;-;3277545,19;12539546,72;23848555,80;49463065,34;63084835,69;67248922,67;93637700,64;105218516,48;236604765,70;293910234,05;948833688,28
"Atend.Ambul. (Pago p/mun)";-;-;35890840,75;62920600,94;87253117,08;34849186,16;49345922,26;61327354,91;120112037,75;143510808,69;405216039,64;474260233,61;1474686141,79
"Intern.Hosp. (Pago p/est)";-;-;-;-;-;-;-;77634798,51;319992511,33;309850016,63;170507145,77;159930813,53;1037915285,77
"Atend.Ambul. (Pago p/est)";-;-;-;862829,32;539231,35;-;-;65937564,70;379085671,24;394350123,56;202266486,38;181313172,69;1224355079,24
"Total";31475726,56;390822948,68;447283319,07;582587012,17;699929734,99;669432279,66;732091028,14;777223940,88;912827920,96;952929465,36;1014594437,49;1109414453,88;8320612267,84
 Fonte: Ministério da Saúde - SIH/SUS, SIA/SUS e Fundo Nacional de Saúde
 Observação: Os estabelecimentos assinalados com asterisco indicam que, para esta raiz de CGC, há outros estabelecimentos
 cadastrados com razão social diferente. Veja as Notas Técnicas.
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
