 Valores aprovados da produção SUS (por Prestador) - Conceito de Período de Competência - Ceará
Valor bruto por Tipo de Despesa e Ano Competência
Período:Dez/1996-Dez/2007
"Tipo de Despesa";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"Intern.Hosp. (Pago p/MS)";9086617,44;117285198,81;118936906,77;134742343,49;92278501,89;-;-;-;-;-;-;-;472329568,40
"Atend.Ambul. (Pago p/MS)";11175164,63;162373248,14;130884070,84;129557630,07;113307083,27;-;-;-;-;-;-;-;547297196,95
"Intern.Hosp. (Pago p/mun)";135202,78;2032763,40;25485281,99;46649711,04;94313361,85;95992207,61;150604606,96;191242128,28;229933493,26;255390599,32;247995675,56;286315710,92;1626090742,97
"Atend.Ambul. (Pago p/mun)";412378,05;5169732,05;34478202,10;70746637,04;95871374,36;54509829,40;125099571,92;187716594,33;227066573,34;244729125,44;254658648,04;266447200,29;1566905866,36
"Intern.Hosp. (Pago p/est)";-;-;-;-;-;97125241,42;58638892,01;39789564,78;42394522,30;43122947,22;41361836,93;31583577,96;354016582,62
"Atend.Ambul. (Pago p/est)";-;-;-;-;-;126499882,78;88916671,29;74550442,86;77957744,14;90171578,34;100398775,72;98123395,96;656618491,09
"Total";20809362,90;286860942,40;309784461,70;381696321,64;395770321,37;374127161,21;423259742,18;493298730,25;577352333,04;633414250,32;644414936,25;682469885,13;5223258448,39
 Fonte: Ministério da Saúde - SIH/SUS, SIA/SUS e Fundo Nacional de Saúde
 Observação: Os estabelecimentos assinalados com asterisco indicam que, para esta raiz de CGC, há outros estabelecimentos
 cadastrados com razão social diferente. Veja as Notas Técnicas.
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
