 Valores aprovados da produção SUS (por Prestador) - Conceito de Período de Competência - Maranhão
Valor bruto por Tipo de Despesa e Ano Competência
Período:Dez/1996-Dez/2007
"Tipo de Despesa";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"Intern.Hosp. (Pago p/MS)";3945549,25;48158226,62;42024951,17;48438091,70;43393997,68;43646803,63;46545317,36;50782754,78;47957137,16;-;-;-;374892829,35
"Atend.Ambul. (Pago p/MS)";4568748,01;54107400,40;23859656,77;23501531,31;20665718,61;25943502,54;28736140,21;36645137,99;30647237,27;-;-;-;248675073,11
"Intern.Hosp. (Pago p/mun)";2169115,11;29103922,71;48516775,18;60270821,35;70239668,56;72079776,52;76459319,88;79122352,55;88487867,08;115702411,60;123828032,31;133197753,35;899177816,20
"Atend.Ambul. (Pago p/mun)";2717771,69;40534741,73;64508445,10;93998306,59;105711873,32;63771486,60;82678570,10;90770513,61;101749612,84;139628137,55;151068373,95;172821786,21;1109959619,29
"Intern.Hosp. (Pago p/est)";-;-;-;-;-;-;-;-;5643449,78;34960095,81;37030054,28;34288928,16;111922528,03
"Atend.Ambul. (Pago p/est)";-;-;-;-;-;-;-;-;3716853,88;27146072,40;42427439,07;29552810,25;102843175,60
"Total";13401184,06;171904291,46;178909828,22;226208750,95;240011258,17;205441569,29;234419347,55;257320758,93;278202158,01;317436717,36;354353899,61;369861277,97;2847471041,58
 Fonte: Ministério da Saúde - SIH/SUS, SIA/SUS e Fundo Nacional de Saúde
 Observação: Os estabelecimentos assinalados com asterisco indicam que, para esta raiz de CGC, há outros estabelecimentos
 cadastrados com razão social diferente. Veja as Notas Técnicas.
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
