 Recursos Federais do SUS (por Município) - Conceito de Período de Competência - Minas Gerais
Valor despendido por Tipo de Despesa e Ano Competência
Período:Dez/1996-Dez/2006
"Tipo de Despesa";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
"Remuneração por serviços produzidos";31890460,48;434992879,87;351579339,32;299057796,40;342961679,56;353771010,14;352052146,31;-;-;-;-;2166305312,08
".. Atendimento ambulatorial (MS)";17900546,57;250090041,33;163366272,65;134453696,54;172455041,13;181114549,43;184185411,16;-;-;-;-;1103565558,81
".. Internações hospitalares (MS)";13989913,91;184902838,54;188213066,67;164604099,86;170506638,43;172656460,71;167866735,15;-;-;-;-;1062739753,27
"Transferências - média e alta complexidade";39153656,25;476429289,25;452369045,15;536309161,92;576499737,42;654848234,72;683001471,88;1025600127,16;1128241413,01;1146345096,68;1192290706,04;7911087939,48
".. Antígeno HLA";-;-;-;-;579464,02;534871,12;-;-;-;-;-;1114335,14
".. Apoio Mudança Graduação na Área de Saúde";-;-;-;-;-;-;-;-;258938,10;155362,86;-;414300,96
".. Assistência hospitalar e ambulatorial (MAC)";31322925,00;367298957,00;413453421,92;506265516,56;522060375,04;247451563,35;-;-;-;-;-;2087852758,87
".. CAPS AD - Incent. Cust. Centros At. Psicossocia";-;-;-;-;-;-;-;-;-;150000,00;100000,00;250000,00
".. CAPS I - Incent. Cust. Centros At. Psicossocial";-;-;-;-;-;-;-;520000,00;180000,00;500000,00;320000,00;1520000,00
".. CAPS II - Incent. Cust. Centros At. Psicossocia";-;-;-;-;-;-;-;690000,00;180000,00;330000,00;6000,00;1206000,00
".. CAPS III - Incent. Cust. Centros At. Psicossoci";-;-;-;-;-;-;-;300000,00;20000,00;50000,00;-;370000,00
".. CAPS IN - Incent. Cust. Centros At. Psicossocia";-;-;-;-;-;-;-;150000,00;-;90000,00;60000,00;300000,00
".. Campanha de acompanhamento pós-transplantes";-;-;-;133518,90;143312,15;47925,00;-;-;-;-;-;324756,05
".. Campanha de cirurgia cardiovascular";-;-;-;-;-;471190,78;-;-;-;-;-;471190,78
".. Campanha de cirurgia da catarata";-;-;-;1693547,74;1069808,04;650553,91;729066,26;8874644,37;10642985,30;10567529,86;1435579,03;35663714,51
".. Campanha de cirurgia da próstata";-;-;-;314272,54;446625,21;540699,61;-;-;-;-;-;1301597,36
".. Campanha de cirurgia de hérnia inguinal";-;-;-;736284,28;2376,00;-;-;-;-;-;-;738660,28
".. Campanha de cirurgia de varizes";-;-;-;649678,57;771250,94;588096,55;-;-;-;-;-;2009026,06
".. Campanha de quimioterapia";-;-;-;-;-;282796,96;-;-;-;-;-;282796,96
".. Campanha de radioterapia";-;-;-;-;-;3733773,14;-;-;-;-;-;3733773,14
".. Campanha de retinopatia diabética";-;-;-;-;18455,64;14308,00;-;-;-;-;-;32763,64
".. Campanha de vacinação";-;-;-;-;-;36257,20;1116698,45;-;-;-;-;1152955,65
".. Campanha de vacinação anti-rábica";-;-;-;-;590375,00;590375,00;1287931,55;785965,00;775829,62;786239,50;803650,75;5620366,42
".. Campanha de vacinação do idoso";-;-;-;-;-;-;-;586770,45;592469,50;605404,45;748197,27;2532841,67
".. Cirurgia de deformidade crânio-facial";-;-;-;-;12371,28;5741,57;-;-;-;-;-;18112,85
".. Cirurgia oncológica";-;-;-;-;2120677,38;1117331,82;-;-;-;-;-;3238009,20
".. Co-financ carga viral HIV e TCD4/CD8";-;-;-;-;-;1225164,99;1991446,93;2183089,23;607204,62;-;-;6006905,77
".. Complemento teto financeiro - plena";-;-;139864,01;11520936,72;357760,27;-;-;-;-;-;-;12018561,00
".. Câmara de compensação de alta complexidade";-;-;1265622,31;354495,88;477021,05;-;-;-;-;-;-;2097139,24
".. Fator de recomposição 25% (plena)";7830731,25;91824739,25;33254466,13;-;-;-;-;-;-;-;-;132909936,63
".. Financ atividades cadastr avaliação estab saúde";-;-;-;-;-;137480,00;-;-;-;-;-;137480,00
".. Formação de Recursos Humanos";-;-;-;-;-;-;-;-;363841,47;312053,85;-;675895,32
".. Gestantes de alto risco - extra teto";-;-;-;165492,86;-;-;-;-;-;-;-;165492,86
".. Gestão plena do sistema estadual (NOAS)";-;-;-;-;-;-;27171238,27;336092765,98;379008414,95;358022906,44;386971671,36;1487266997,00
".. Gestão plena sistema municipal - alta complexid";-;-;-;-;-;100455395,58;117356867,88;-;-;-;-;217812263,46
".. Gestão plena sistema municipal - média complex";-;-;-;-;11191,80;237369384,37;472128455,38;612754067,04;642331216,22;676529244,02;665353093,70;3306476652,53
".. Impacto da psiquiatria";-;-;-;-;-;271310,11;-;-;-;-;-;271310,11
".. Inc.Financ.Serviços Residenciais Terapêuticos";-;-;-;-;-;-;-;-;240000,00;170000,00;120000,00;530000,00
".. Incent. Implantação Programa Qualificação dos C";-;-;-;-;-;-;-;-;-;56000,00;-;56000,00
".. Incent. Prog. Nacional de HIV/AIDS e outras DST";-;-;-;-;-;-;-;4700046,55;8486133,90;8643544,55;6829892,06;28659617,06
".. Incentivo (MAC) à população indígena";-;-;-;-;-;188517,00;-;-;-;-;-;188517,00
".. Incentivo - SAMU";-;-;-;-;-;-;-;-;800000,00;350000,00;150000,00;1300000,00
".. Incentivo Adicional ao CEO";-;-;-;-;-;-;-;-;-;2370000,00;950000,00;3320000,00
".. Leitos de UTI - extra teto";-;-;-;176140,35;-;-;-;-;-;-;-;176140,35
".. MAC vigilância sanitária";-;-;-;-;1080997,20;2147492,18;2719064,40;2492475,70;3627534,58;2935502,57;2645149,54;17648216,17
".. Medicamentos excepcionais pacientes crônicos";-;-;-;-;40030614,41;52918989,99;58500702,76;55470302,84;78047344,75;71496108,58;107729772,33;464193835,66
".. Neurocirurgia - extra teto";-;-;-;2912765,66;-;-;-;-;-;-;-;2912765,66
".. Plano nacional de controle tuberculose";-;-;-;23729,40;294207,20;144567,40;-;-;-;-;-;462504,00
".. Programa de Especialidade Odontológica";-;-;-;-;-;-;-;-;-;794200,00;4380200,00;5174400,00
".. Programa de combate ao câncer de colo uterino";-;-;-;1784298,00;2869321,42;1550224,31;-;-;-;-;-;6203843,73
".. Programa de radioterapia/quimioterapia";-;-;-;-;733272,14;-;-;-;-;-;-;733272,14
