 Recursos Federais do SUS (por Município) - Conceito de Período de Competência - Mato Grosso do Sul
Valor despendido por Tipo de Despesa e Ano Competência
Período:Dez/1996-Dez/2006
"Tipo de Despesa";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
"Remuneração por serviços produzidos";1968370,39;28377788,71;26503788,21;29695183,60;33990527,05;38227833,91;27031693,96;-;-;-;-;185795185,83
".. Atendimento ambulatorial (MS)";1224488,21;17436398,83;13434380,84;13506335,88;15807794,31;18258737,38;13559209,74;-;-;-;-;93227345,19
".. Internações hospitalares (MS)";743882,18;10941389,88;13069407,37;16188847,72;18182732,74;19969096,53;13472484,22;-;-;-;-;92567840,64
"Transferências - média e alta complexidade";5445199,39;65939926,43;57062179,54;59837652,83;63633811,53;81601729,92;93862243,14;132984012,43;150004555,67;177189542,80;195025268,55;1082586122,23
".. Antígeno HLA";-;-;-;-;2756,08;-;-;-;-;-;-;2756,08
".. Apoio Mudança Graduação na Área de Saúde";-;-;-;-;-;-;-;-;174344,94;261517,41;-;435862,35
".. Assistência hospitalar e ambulatorial (MAC)";4356159,51;52751941,12;49829764,69;53067740,14;57035623,12;28823838,48;-;-;-;-;-;245865067,06
".. CAPS AD - Incent. Cust. Centros At. Psicossocia";-;-;-;-;-;-;-;-;-;50000,00;-;50000,00
".. CAPS I - Incent. Cust. Centros At. Psicossocial";-;-;-;-;-;-;-;20000,00;-;120000,00;-;140000,00
".. CAPS II - Incent. Cust. Centros At. Psicossocia";-;-;-;-;-;-;-;90000,00;-;80000,00;30000,00;200000,00
".. CAPS IN - Incent. Cust. Centros At. Psicossocia";-;-;-;-;-;-;-;-;-;60000,00;-;60000,00
".. Campanha de acomp paciente deficiente auditivo";-;-;-;-;-;201956,02;-;-;-;-;-;201956,02
".. Campanha de cirurgia cardiovascular";-;-;-;-;-;347343,16;-;-;-;-;-;347343,16
".. Campanha de cirurgia da catarata";-;-;-;321115,00;126698,00;268931,49;197925,78;1620144,04;1704778,72;1537726,05;208849,33;5986168,41
".. Campanha de cirurgia da próstata";-;-;-;84366,05;50237,63;80295,50;-;-;-;-;-;214899,18
".. Campanha de cirurgia de hérnia inguinal";-;-;-;57729,65;-;-;-;-;-;-;-;57729,65
".. Campanha de cirurgia de varizes";-;-;-;24170,77;37302,09;21143,15;-;-;-;-;-;82616,01
".. Campanha de quimioterapia";-;-;-;-;-;10395,30;-;-;-;-;-;10395,30
".. Campanha de radioterapia";-;-;-;-;-;234020,58;-;-;-;-;-;234020,58
".. Campanha de retinopatia diabética";-;-;-;-;-;252,00;-;-;-;-;-;252,00
".. Campanha de vacinação";-;-;-;-;-;-;368595,90;-;-;-;-;368595,90
".. Campanha de vacinação anti-rábica";-;-;-;-;215050,00;215050,00;262994,10;289907,20;307236,05;296270,15;409262,70;1995770,20
".. Campanha de vacinação do idoso";-;-;-;-;-;-;-;57188,25;57885,45;59466,75;60276,30;234816,75
".. Cirurgia oncológica";-;-;-;-;107364,15;104764,93;-;-;-;-;-;212129,08
".. Co-financ carga viral HIV e TCD4/CD8";-;-;-;-;-;137814,60;279835,91;324375,90;47165,49;-;-;789191,90
".. Complemento teto financeiro - plena";-;-;1328737,81;2942371,90;20553,79;-;-;-;-;-;-;4291663,50
".. Câmara de compensação de alta complexidade";-;-;1120800,93;1095678,30;520197,62;-;-;-;-;-;-;2736676,85
".. Fator de recomposição 25% (plena)";1089039,88;13187985,31;4662995,69;-;-;-;-;-;-;-;-;18940020,88
".. Financ atividades cadastr avaliação estab saúde";-;-;-;-;-;12888,00;-;-;-;-;-;12888,00
".. Formação de Recursos Humanos";-;-;-;-;-;-;-;-;87172,46;130758,69;-;217931,15
".. Gestão plena do sistema estadual (NOAS)";-;-;-;-;-;-;12505717,75;37652138,49;37428755,16;37810002,81;48528953,63;173925567,84
".. Gestão plena do sistema municipal (NOAS)";-;-;-;-;-;-;12088927,26;-;-;-;-;12088927,26
".. Gestão plena sistema municipal - alta complexid";-;-;-;-;-;11343368,93;11396660,51;-;-;-;-;22740029,44
".. Gestão plena sistema municipal - média complex";-;-;-;-;-;34013396,92;50419676,53;84983289,39;96308749,78;118112594,63;122731540,82;506569248,07
".. Impacto da psiquiatria";-;-;-;-;-;20787,68;-;-;-;-;-;20787,68
".. Inc.Financ.Serviços Residenciais Terapêuticos";-;-;-;-;-;-;-;-;-;-;10000,00;10000,00
".. Incent. Prog. Nacional de HIV/AIDS e outras DST";-;-;-;-;-;-;-;1247521,06;1996843,87;2043557,76;1627556,98;6915479,67
".. Incentivo (MAC) à população indígena";-;-;-;-;-;779562,00;-;-;-;-;-;779562,00
".. Incentivo - SAMU";-;-;-;-;-;-;-;-;150000,00;-;-;150000,00
".. Incentivo Adicional ao CEO";-;-;-;-;-;-;-;-;-;430000,00;50000,00;480000,00
".. Leitos de UTI - extra teto";-;-;-;633760,20;-;-;-;-;-;-;-;633760,20
".. MAC vigilância sanitária";-;-;-;-;-;350000,00;420000,00;385000,00;323108,42;448368,25;385000,22;2311476,89
".. Medicamentos excepcionais pacientes crônicos";-;-;-;-;4584714,93;4140914,52;5921909,40;6314448,10;11418515,33;13727580,30;17953328,57;64061411,15
".. Neurocirurgia - extra teto";-;-;-;398042,16;-;-;-;-;-;-;-;398042,16
".. Plano nacional de controle tuberculose";-;-;-;3503,80;21695,00;11933,60;-;-;-;-;-;37132,40
".. Programa de Especialidade Odontológica";-;-;-;-;-;-;-;-;-;343200,00;979000,00;1322200,00
".. Programa de combate ao câncer de colo uterino";-;-;-;179500,17;50993,00;24646,00;-;-;-;-;-;255139,17
".. Programa de radioterapia/quimioterapia";-;-;-;-;42005,42;-;-;-;-;-;-;42005,42
".. Serviços Atendimento Móvel de Urgências - SAMU";-;-;-;-;-;-;-;-;-;1678500,00;2051500,00;3730000,00
".. Terapia renal substituitiva";-;-;-;-;4291,00;-;-;-;-;-;-;4291,00
".. Transplantes";-;-;-;450283,01;814329,70;458427,06;-;-;-;-;-;1723039,77
".. Urgência e emergência - extra teto";-;-;119880,42;579391,68;-;-;-;-;-;-;-;699272,10
"Transferências - atenção básica";-;-;20356614,85;27169872,28;36510775,39;43237507,36;49498638,36;58612344,17;71599387,84;87300565,51;97383771,16;491669476,92
".. Anvisa - Taxa de fiscalização";-;-;-;-;-;73455,09;141104,34;-;286127,70;239026,20;236389,01;976102,34
