 Valores aprovados da produção SUS (por Prestador) - Conceito de Período de Competência - Mato Grosso
Valor bruto por Tipo de Despesa e Ano Competência
Período:Dez/1996-Dez/2007
"Tipo de Despesa";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"Intern.Hosp. (Pago p/MS)";2215794,38;27199484,28;33057414,37;39181339,42;43099665,89;44626387,63;32657880,70;-;-;-;-;-;222037966,67
"Atend.Ambul. (Pago p/MS)";2795465,11;33930418,66;26313627,18;33946937,80;38750676,20;42233729,86;35563729,64;-;-;-;-;-;213534584,45
"Intern.Hosp. (Pago p/mun)";868466,08;13112614,63;16272275,56;18839314,92;25495098,74;24748195,12;28207384,21;38675354,59;39349905,89;41070226,81;44179715,19;46438425,78;337256977,52
"Atend.Ambul. (Pago p/mun)";1015465,36;13785746,26;29542381,08;40285505,77;47902962,04;22997291,32;22691699,87;30237269,14;34002585,58;35456762,51;48729429,17;54364020,63;381011118,73
"Intern.Hosp. (Pago p/est)";-;-;-;-;-;-;17422874,92;45012625,14;51031084,11;54123616,90;45223133,86;50110516,85;262923851,78
"Atend.Ambul. (Pago p/est)";-;-;-;-;-;-;18931309,99;50716422,73;53456357,20;71374825,60;69989959,78;72462165,50;336931040,80
"Total";6895190,93;88028263,83;105185698,19;132253097,91;155248402,87;134605603,93;155474879,33;164641671,60;177839932,78;202025431,82;208122238,00;223375128,76;1753695539,95
 Fonte: Ministério da Saúde - SIH/SUS, SIA/SUS e Fundo Nacional de Saúde
 Observação: Os estabelecimentos assinalados com asterisco indicam que, para esta raiz de CGC, há outros estabelecimentos
 cadastrados com razão social diferente. Veja as Notas Técnicas.
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
