 Valores aprovados da produção SUS (por Prestador) - Conceito de Período de Competência - Pará
Valor bruto por Tipo de Despesa e Ano Competência
Período:Dez/1996-Dez/2007
"Tipo de Despesa";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"Intern.Hosp. (Pago p/MS)";6256886,42;50668772,93;47474455,84;52424647,74;61069261,40;27375455,59;-;-;-;-;-;-;245269479,92
"Atend.Ambul. (Pago p/MS)";4755827,49;45645019,19;17969410,73;8814726,98;10954130,11;8570091,97;-;-;-;-;-;-;96709206,47
"Intern.Hosp. (Pago p/mun)";100489,41;25394444,09;45399792,99;68101239,66;77435527,17;94266325,86;104649261,05;117988607,15;137410295,83;155125472,30;157484132,43;169176963,38;1152532551,32
"Atend.Ambul. (Pago p/mun)";72143,98;22729807,69;50020011,11;74089112,82;80709674,95;61662693,45;81744157,94;102763589,10;110789624,61;131162139,82;149767942,14;170351325,76;1035862223,37
"Intern.Hosp. (Pago p/est)";-;-;-;-;-;22951897,12;49573901,23;54000254,10;60910504,91;62282092,88;67840685,89;70549053,73;388108389,86
"Atend.Ambul. (Pago p/est)";-;-;-;-;-;8491093,43;22467966,70;24090758,92;33667469,64;35798943,56;43002407,30;45399686,50;212918326,05
"Total";11185347,30;144438043,90;160863670,67;203429727,20;230168593,63;223317557,42;258435286,92;298843209,27;342777894,99;384368648,56;418095167,76;455477029,37;3131400176,99
 Fonte: Ministério da Saúde - SIH/SUS, SIA/SUS e Fundo Nacional de Saúde
 Observação: Os estabelecimentos assinalados com asterisco indicam que, para esta raiz de CGC, há outros estabelecimentos
 cadastrados com razão social diferente. Veja as Notas Técnicas.
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
