 Valores aprovados da produção SUS (por Prestador) - Conceito de Período de Competência - Paraíba
Valor bruto por Tipo de Despesa e Ano Competência
Período:Dez/1996-Dez/2007
"Tipo de Despesa";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"Intern.Hosp. (Pago p/MS)";5518342,84;46380646,31;48362510,03;53662612,34;49264001,68;45232220,69;25145825,14;-;-;-;-;-;273566159,03
"Atend.Ambul. (Pago p/MS)";5083428,70;56518461,42;48067007,07;53449967,70;50188921,30;54825584,93;33249186,57;-;-;-;-;-;301382557,69
"Intern.Hosp. (Pago p/mun)";-;17984120,09;24810602,10;31822318,51;42718883,76;50802872,64;57775409,91;82034397,50;100759316,95;108191916,69;112868510,74;119569818,75;749338167,64
"Atend.Ambul. (Pago p/mun)";-;5713857,01;19152779,32;28770481,21;34162761,80;19369326,58;28987847,00;55708584,59;81956989,27;91241599,13;104205217,91;120139439,06;589408882,88
"Intern.Hosp. (Pago p/est)";-;-;-;-;-;-;14061503,48;25590947,27;18526820,88;17301321,35;10013406,82;10677179,48;96171179,28
"Atend.Ambul. (Pago p/est)";-;-;-;-;-;-;22341340,52;40727408,26;34440495,52;40961044,57;28489132,14;34412125,97;201371546,98
"Total";10601771,54;126597084,83;140392898,52;167705379,76;176334568,54;170230004,84;181561112,62;204061337,62;235683622,62;257695881,74;255576267,61;284798563,26;2211238493,50
 Fonte: Ministério da Saúde - SIH/SUS, SIA/SUS e Fundo Nacional de Saúde
 Observação: Os estabelecimentos assinalados com asterisco indicam que, para esta raiz de CGC, há outros estabelecimentos
 cadastrados com razão social diferente. Veja as Notas Técnicas.
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
