 Valores aprovados da produção SUS (por Prestador) - Conceito de Período de Competência - Pernambuco
Valor bruto por Tipo de Despesa e Ano Competência
Período:Dez/1996-Dez/2007
"Tipo de Despesa";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"Intern.Hosp. (Pago p/MS)";9447988,48;127985494,79;145110119,93;176322154,88;164144265,45;173824935,23;177305002,68;197919670,53;106556823,73;-;-;-;1278616455,70
"Atend.Ambul. (Pago p/MS)";10541857,71;125488702,49;106314770,72;132288911,75;154469735,72;162324519,65;190252612,70;206070658,74;94825720,01;-;-;-;1182577489,49
"Intern.Hosp. (Pago p/mun)";1798714,27;23849611,87;30639195,20;35750394,55;52092088,80;57113615,84;58068490,52;58186614,35;63535985,73;73616863,22;82176240,84;88610276,98;625438092,17
"Atend.Ambul. (Pago p/mun)";3632369,70;41933074,24;75358407,46;87730801,62;88005558,07;35201065,81;42911829,13;51089951,90;58173022,13;68698920,34;83514717,80;103877801,24;740127519,44
"Intern.Hosp. (Pago p/est)";-;-;-;-;-;-;-;-;107536727,10;228790606,83;229478382,07;250320845,69;816126561,69
"Atend.Ambul. (Pago p/est)";-;-;-;-;-;-;-;-;122723911,34;259430080,73;281619646,64;310981881,50;974755520,21
"Total";25420930,16;319256883,39;357422493,31;432092262,80;458711648,04;428464136,53;468537935,03;513266895,52;553352190,04;630536471,12;676788987,35;753790805,41;5617641638,70
 Fonte: Ministério da Saúde - SIH/SUS, SIA/SUS e Fundo Nacional de Saúde
 Observação: Os estabelecimentos assinalados com asterisco indicam que, para esta raiz de CGC, há outros estabelecimentos
 cadastrados com razão social diferente. Veja as Notas Técnicas.
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
