 Recursos Federais do SUS (por Município) - Conceito de Período de Competência - Paraná
Valor despendido por Tipo de Despesa e Ano Competência
Período:Dez/1996-Dez/2006
"Tipo de Despesa";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
"Remuneração por serviços produzidos";21863382,89;275557732,94;224987470,96;224546082,63;-;-;-;-;-;-;-;746954669,42
".. Atendimento ambulatorial (MS)";11182358,78;137055393,69;78677743,64;67115204,75;-;-;-;-;-;-;-;294030700,86
".. Internações hospitalares (MS)";10681024,11;138502339,25;146309727,32;157430877,88;-;-;-;-;-;-;-;452923968,56
"Transferências - média e alta complexidade";19784272,50;237298520,00;258347189,73;304804143,34;532974130,80;571212849,26;599797661,75;632308482,76;691754096,63;745385888,50;771417174,74;5365084410,01
".. Antígeno HLA";-;-;-;1415,00;435317,03;1058801,22;-;-;-;-;-;1495533,25
".. Apoio Mudança Graduação na Área de Saúde";-;-;-;-;-;-;-;-;259644,39;338635,44;-;598279,83
".. Assistência hospitalar e ambulatorial (MAC)";15827418,00;189678816,00;224794932,80;280015740,33;488204866,78;206710983,82;-;-;-;-;-;1405232757,73
".. CAPS AD - Incent. Cust. Centros At. Psicossocia";-;-;-;-;-;-;-;-;150000,00;450000,00;203000,00;803000,00
".. CAPS I - Incent. Cust. Centros At. Psicossocial";-;-;-;-;-;-;-;20000,00;60000,00;370000,00;300000,00;750000,00
".. CAPS II - Incent. Cust. Centros At. Psicossocia";-;-;-;-;-;-;-;150000,00;-;220000,00;193000,00;563000,00
".. CAPS III - Incent. Cust. Centros At. Psicossoci";-;-;-;-;-;-;-;50000,00;-;50000,00;-;100000,00
".. CAPS IN - Incent. Cust. Centros At. Psicossocia";-;-;-;-;-;-;-;90000,00;30000,00;30000,00;-;150000,00
".. Campanha de acompanhamento pós-transplantes";-;-;-;-;-;74535,00;-;-;-;-;-;74535,00
".. Campanha de cirurgia cardiovascular";-;-;-;-;-;3412738,30;-;-;-;-;-;3412738,30
".. Campanha de cirurgia da catarata";-;-;-;1859625,00;1642260,52;611751,90;433313,31;5095525,18;6114050,54;5944459,92;736751,22;22437737,59
".. Campanha de cirurgia da próstata";-;-;-;199957,81;264451,14;342394,68;-;-;-;-;-;806803,63
".. Campanha de cirurgia de hérnia inguinal";-;-;-;400841,00;-;-;-;-;-;-;-;400841,00
".. Campanha de cirurgia de varizes";-;-;-;767314,04;1430874,09;388717,53;-;-;-;-;-;2586905,66
".. Campanha de pré-natal";-;-;-;-;-;37590,00;-;-;-;-;-;37590,00
".. Campanha de quimioterapia";-;-;-;-;10938,25;596109,89;-;-;-;-;-;607048,14
".. Campanha de radioterapia";-;-;-;-;113338,56;2297168,22;-;-;-;-;-;2410506,78
".. Campanha de retinopatia diabética";-;-;-;-;27024,62;8568,00;-;-;-;-;-;35592,62
".. Campanha de vacinação";-;-;-;-;-;-;221556,46;-;-;-;-;221556,46
".. Campanha de vacinação anti-rábica";-;-;-;-;52500,00;52500,00;237563,54;45520,25;45520,25;39727,50;40810,00;514141,54
".. Campanha de vacinação do idoso";-;-;-;-;-;-;-;124768,50;125827,65;128226,00;129450,30;508272,45
".. Cirurgia de deformidade crânio-facial";-;-;-;-;2061,13;85225,82;-;-;-;-;-;87286,95
".. Cirurgia oncológica";-;-;-;435,50;3110987,22;1579581,88;-;-;-;-;-;4691004,60
".. Co-financ carga viral HIV e TCD4/CD8";-;-;-;-;-;790263,81;1481456,87;1507207,23;438380,10;-;-;4217308,01
".. Complemento teto financeiro - plena";-;-;6860729,06;5697726,12;-;-;-;-;-;-;-;12558455,18
".. Câmara de compensação de alta complexidade";-;-;4912927,75;5542167,24;6833775,16;30481,12;-;-;-;-;-;17319351,27
".. Fator de recomposição 25% (plena)";3956854,50;47419704,00;18765688,32;-;-;-;-;-;-;-;-;70142246,82
".. Financ atividades cadastr avaliação estab saúde";-;-;-;-;-;86188,00;-;-;-;-;-;86188,00
".. Formação de Recursos Humanos";-;-;-;-;-;-;-;-;129822,18;169317,70;-;299139,88
".. Gestão plena do sistema estadual (NOAS)";-;-;-;-;-;-;117376243,81;297019766,20;323666280,79;338808071,25;326283782,72;1403154144,77
".. Gestão plena do sistema municipal (NOAS)";-;-;-;-;-;-;38215782,90;-;-;-;-;38215782,90
".. Gestão plena sistema municipal - alta complexid";-;-;-;-;-;93244693,05;91025387,86;-;-;-;-;184270080,91
".. Gestão plena sistema municipal - média complex";-;-;-;-;-;228827857,01;320857129,86;293606809,74;307724351,58;333948929,53;348609864,56;1833574942,28
".. Impacto da psiquiatria";-;-;-;-;-;261559,09;-;-;-;-;-;261559,09
".. Inc.Financ.Serviços Residenciais Terapêuticos";-;-;-;-;-;-;-;-;40000,00;70000,00;10000,00;120000,00
".. Incent. Implantação Programa Qualificação dos C";-;-;-;-;-;-;-;-;-;12000,00;-;12000,00
".. Incent. Prog. Nacional de HIV/AIDS e outras DST";-;-;-;-;-;-;-;2949525,27;5618445,17;5793261,83;4405920,47;18767152,74
".. Incentivo (MAC) à população indígena";-;-;-;-;-;405998,00;-;-;-;-;-;405998,00
".. Incentivo - SAMU";-;-;-;-;-;-;-;-;600000,00;200000,00;-;800000,00
".. Incentivo Adicional ao CEO";-;-;-;-;-;-;-;-;270000,00;1590000,00;270000,00;2130000,00
".. Leitos de UTI - extra teto";-;-;-;431272,05;-;-;-;-;-;-;-;431272,05
".. MAC vigilância sanitária";-;-;-;-;585974,50;1094239,12;1454206,32;1333022,46;2057375,78;1657602,49;1564716,12;9747136,79
".. Medicamentos excepcionais pacientes crônicos";-;-;-;-;21810149,04;24192336,15;28495020,82;30316337,93;41496998,20;45524956,84;74742479,35;266578278,33
".. Medicamentos excepcionais para transplantes";-;-;-;457534,82;-;-;-;-;-;-;-;457534,82
".. Neurocirurgia - extra teto";-;-;-;2314954,69;-;-;-;-;-;-;-;2314954,69
".. Plano nacional de controle tuberculose";-;-;-;44270,00;243333,20;137771,40;-;-;-;-;-;425374,60
".. Programa de Especialidade Odontológica";-;-;-;-;-;-;-;-;125400,00;1399200,00;3370400,00;4895000,00
".. Programa de combate ao câncer de colo uterino";-;-;-;642805,21;2533608,51;1604163,59;-;-;-;-;-;4780577,31
".. Programa de humanização pré-natal e nascimentos";-;-;-;-;2215568,88;-;-;-;-;-;-;2215568,88
".. Programa de radioterapia/quimioterapia";-;-;-;-;288122,67;-;-;-;-;-;-;288122,67
".. Projeto Inclusão Social Trabalho (Saúde Mental)";-;-;-;-;-;-;-;-;-;-;5000,00;5000,00
".. Prêmio Bibi Vogel";-;-;-;-;-;-;-;-;-;50000,00;-;50000,00
".. Serviços Atendimento Móvel de Urgências - SAMU";-;-;-;-;-;-;-;-;2802000,00;8591500,00;10552000,00;21945500,00
".. Terapia renal substituitiva";-;-;-;-;412133,17;-;-;-;-;-;-;412133,17
".. Transferências extraordinárias";-;200000,00;-;-;-;-;-;-;-;-;-;200000,00
".. Transplantes";-;-;-;1910043,86;2756846,33;3280632,66;-;-;-;-;-;7947522,85
".. Urgência e emergência - extra teto";-;-;3012911,80;4518040,67;-;-;-;-;-;-;-;7530952,47
"Transferências - atenção básica";-;-;94810042,46;141313019,31;183421711,80;210357512,37;233784234,95;257768142,88;290269947,06;322150741,06;353479457,63;2087354809,52
".. Anvisa - Taxa de fiscalização";-;-;-;-;-;811308,51;1828871,52;-;1362334,70;2412567,40;2472071,21;8887153,34
".. Apoio à população indígena";-;-;-;-;-;2151830,00;3178980,00;2999340,00;3083300,00;3581850,00;3466150,00;18461450,00
".. Ações de diagnóstico laboratorial da tuberculos";-;-;-;-;-;-;-;-;-;20000,00;-;20000,00
".. Ações vigil e prevenção doenças agravos não tra";-;-;-;-;-;-;-;-;-;343710,00;-;343710,00
".. Cadastro nacional de usuários do SUS";-;-;-;-;-;352396,97;990141,15;339081,60;87727,20;117782,40;-;1887129,32
".. Campanha de Vacinação - Tríplice Viral";-;-;-;-;-;-;-;-;110257,20;-;-;110257,20
".. Epidemiologia e controle de doenças";-;-;-;-;11099794,25;20838141,90;21586998,28;20966352,26;23067306,40;24489121,50;20702032,29;142749746,88
".. Epidemiologia e controle de doenças (adicional)";-;-;-;-;-;-;6472,00;828962,24;1483874,26;1618771,92;1483874,26;5421954,68
".. Farmácia básica";-;-;-;7754619,43;9375593,04;9543269,46;9694709,40;8955680,95;9280784,80;12177584,81;14493847,29;81276089,18
".. Financ aos Centros de Referência Saúde Trabalha";-;-;-;-;-;-;-;354000,00;648000,00;760000,00;136000,00;1898000,00
".. Formação Profissional Agentes Comunitários Saúd";-;-;-;-;-;-;-;-;-;666050,00;4113666,66;4779716,66
".. Inc. Fortalecimento Gestão de Vigilância em Saú";-;-;-;-;-;-;-;-;-;1226532,53;1431694,38;2658226,91
".. Inc. Hosp. Subsist. Vig. Ep. en Âmbito Hospital";-;-;-;-;-;-;-;-;-;58000,00;234000,00;292000,00
".. Inc. Intens. Ações Vigilância Controle Hansenía";-;-;-;-;-;-;-;-;27000,00;50071,47;-;77071,47
".. Inc. Pesq. Acidentes Violências Serviços Sentin";-;-;-;-;-;-;-;-;-;-;21129,00;21129,00
".. Inc. Realiz. Levant. Índice Rápido - Aedes Aegy";-;-;-;-;-;-;-;-;34709,84;-;-;34709,84
