 Valores aprovados da produção SUS (por Prestador) - Conceito de Período de Competência - Rio de Janeiro
Valor bruto por Tipo de Despesa e Ano Competência
Período:Dez/1996-Dez/2007
"Tipo de Despesa";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"Intern.Hosp. (Pago p/MS)";21064486,16;279002636,59;285723873,17;115582955,15;115601147,24;132780226,94;70841970,15;-;-;-;-;-;1020597295,40
"Atend.Ambul. (Pago p/MS)";24202020,44;291037589,80;257999192,29;97857710,76;121757835,21;152608677,93;88021926,64;-;-;-;-;-;1033484953,07
"Intern.Hosp. (Pago p/mun)";1985776,96;28939692,61;63514609,43;301499920,75;320478696,21;307299897,19;319602546,19;335248391,41;369545239,26;191853018,31;169289189,97;387799882,28;2797056860,57
"Atend.Ambul. (Pago p/mun)";3767630,98;46424050,65;133436816,49;381248057,50;460584689,91;353869095,70;390210739,19;436527547,75;486631255,04;275115761,30;270186061,73;580077775,41;3818079481,65
"Intern.Hosp. (Pago p/est)";-;-;-;-;-;-;49391951,87;127052954,84;140779965,13;312383075,53;318800036,57;147435142,61;1095843126,55
"Atend.Ambul. (Pago p/est)";-;-;-;-;-;-;62697806,70;169367488,36;206600497,02;481899401,60;535099142,84;244725526,13;1700389862,65
"Total";51019914,54;645403969,65;740674491,38;896188644,16;1018422368,57;946557897,76;980766940,74;1068196382,36;1203556956,45;1261251256,74;1293374431,11;1360038326,43;11465451579,89
 Fonte: Ministério da Saúde - SIH/SUS, SIA/SUS e Fundo Nacional de Saúde
 Observação: Os estabelecimentos assinalados com asterisco indicam que, para esta raiz de CGC, há outros estabelecimentos
 cadastrados com razão social diferente. Veja as Notas Técnicas.
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
