 Valores aprovados da produção SUS (por Prestador) - Conceito de Período de Competência - Rio Grande do Norte
Valor bruto por Tipo de Despesa e Ano Competência
Período:Dez/1996-Dez/2007
"Tipo de Despesa";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"Intern.Hosp. (Pago p/MS)";865530,88;12389958,15;15915714,32;17982638,44;20514449,55;19278554,07;20054615,20;11184080,66;-;-;-;-;118185541,27
"Atend.Ambul. (Pago p/MS)";3170582,87;40467144,05;30352244,96;46071999,11;46529971,74;54133994,77;60611576,93;50098916,32;-;-;-;-;331436430,75
"Intern.Hosp. (Pago p/mun)";1854741,61;25239591,25;32981441,16;40026158,15;44743858,41;50850330,42;54547961,49;61459390,17;75633253,51;80970472,15;77285855,74;87726576,56;633319630,62
"Atend.Ambul. (Pago p/mun)";955693,56;12807629,81;26038023,68;33417276,49;38972206,08;15582891,94;22050052,15;30045240,51;39137721,70;42280807,54;41554699,37;46508150,74;349350393,57
"Intern.Hosp. (Pago p/est)";-;-;-;-;-;-;-;5291773,95;16629411,20;17610557,82;18002976,85;17135349,61;74670069,43
"Atend.Ambul. (Pago p/est)";-;-;-;-;-;-;-;26056638,01;80321686,68;89624298,23;97149622,74;111723123,13;404875368,79
"Total";6846548,92;90904323,26;105287424,12;137498072,19;150760485,78;139845771,20;157264205,77;184136039,62;211722073,09;230486135,74;233993154,70;263093200,04;1911837434,43
 Fonte: Ministério da Saúde - SIH/SUS, SIA/SUS e Fundo Nacional de Saúde
 Observação: Os estabelecimentos assinalados com asterisco indicam que, para esta raiz de CGC, há outros estabelecimentos
 cadastrados com razão social diferente. Veja as Notas Técnicas.
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
