 Recursos Federais do SUS (por Município) - Conceito de Período de Competência - Rio Grande do Sul
Valor despendido por Tipo de Despesa e Ano Competência
Período:Dez/1996-Dez/2006
"Tipo de Despesa";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
"Remuneração por serviços produzidos";19347446,74;257125405,93;269333037,04;314591095,78;331081591,33;333948752,68;360193752,71;304130085,35;-;-;-;2189751167,56
".. Atendimento ambulatorial (MS)";8177403,64;114127604,81;101938230,19;119841885,85;143217840,52;151544740,60;165305157,83;146685350,10;-;-;-;950838213,54
".. Internações hospitalares (MS)";11170043,10;142997801,12;167394806,85;194749209,93;187863750,81;182404012,08;194888594,88;157444735,25;-;-;-;1238912954,02
"Transferências - média e alta complexidade";22470887,53;269650650,36;269662074,59;275225810,64;315947811,00;380628454,90;336530690,54;376306728,80;632178020,18;662949064,95;706132869,08;4247683062,57
".. Antígeno HLA";-;-;-;-;354520,84;733595,88;-;-;-;-;-;1088116,72
".. Apoio Mudança Graduação na Área de Saúde";-;-;-;-;-;-;-;-;507357,06;394027,37;-;901384,43
".. Assistência hospitalar e ambulatorial (MAC)";17976710,02;215720520,24;234846745,51;255425158,27;290030241,13;150173116,64;-;-;-;-;-;1164172491,81
".. CAPS AD - Incent. Cust. Centros At. Psicossocia";-;-;-;-;-;-;-;-;410000,00;200000,00;100000,00;710000,00
".. CAPS I - Incent. Cust. Centros At. Psicossocial";-;-;-;-;-;-;-;540000,00;20000,00;220000,00;289000,00;1069000,00
".. CAPS II - Incent. Cust. Centros At. Psicossocia";-;-;-;-;-;-;-;690000,00;90000,00;50000,00;76000,00;906000,00
".. CAPS IN - Incent. Cust. Centros At. Psicossocia";-;-;-;-;-;-;-;90000,00;-;90000,00;120000,00;300000,00
".. Campanha de acompanhamento pós-transplantes";-;-;-;-;-;83490,00;-;-;-;-;-;83490,00
".. Campanha de cirurgia cardiovascular";-;-;-;-;-;208478,22;-;-;-;-;-;208478,22
".. Campanha de cirurgia da catarata";-;-;-;792200,00;360550,24;557763,63;485027,23;2576187,36;4933511,73;4797877,97;788206,57;15291324,73
".. Campanha de cirurgia da próstata";-;-;-;18571,95;70097,85;98061,71;-;-;-;-;-;186731,51
".. Campanha de cirurgia de hérnia inguinal";-;-;-;56779,00;1208,00;-;-;-;-;-;-;57987,00
".. Campanha de cirurgia de varizes";-;-;-;16136,49;40982,83;58807,31;-;-;-;-;-;115926,63
".. Campanha de epilepsia";-;-;-;-;192587,88;591542,49;-;-;-;-;-;784130,37
".. Campanha de quimioterapia";-;-;-;-;-;8584,50;-;-;-;-;-;8584,50
".. Campanha de radioterapia";-;-;-;-;125452,36;2061062,66;-;-;-;-;-;2186515,02
".. Campanha de retinopatia diabética";-;-;-;-;532,00;-;-;-;-;-;-;532,00
".. Campanha de vacinação";-;-;-;-;-;-;637331,35;-;-;-;-;637331,35
".. Campanha de vacinação anti-rábica";-;-;-;-;-;-;208008,65;-;-;-;-;208008,65
".. Campanha de vacinação do idoso";-;-;-;-;-;-;-;164274,45;165688,35;168879,45;170506,50;669348,75
".. Cirurgia de deformidade crânio-facial";-;-;-;-;10337,51;7281,50;-;-;-;-;-;17619,01
".. Cirurgia oncológica";-;-;-;-;3355351,00;1726215,57;-;-;-;-;-;5081566,57
".. Co-financ carga viral HIV e TCD4/CD8";-;-;-;-;-;1862691,60;3392907,84;3190261,77;889378,11;-;-;9335239,32
".. Complemento teto financeiro - plena";-;-;5190751,80;3971137,81;12253,43;-;-;-;-;-;-;9174143,04
".. Câmara de compensação de alta complexidade";-;-;5145908,47;893238,15;538857,57;-;-;-;-;-;-;6578004,19
".. Fator de recomposição 25% (plena)";4494177,51;53930130,12;21225872,68;-;-;-;-;-;-;-;-;79650180,31
".. Financ atividades cadastr avaliação estab saúde";-;-;-;-;-;87584,00;-;-;-;-;-;87584,00
".. Formação de Recursos Humanos";-;-;-;-;-;-;-;-;408577,90;675062,19;-;1083640,09
".. Gestão plena do sistema estadual (NOAS)";-;-;-;-;-;-;-;71799188,50;282177885,05;278797333,32;278337319,21;911111726,08
".. Gestão plena sistema municipal - alta complexid";-;-;-;-;90351,00;59557080,78;59241160,44;-;-;-;-;118888592,22
".. Gestão plena sistema municipal - média complex";-;-;-;-;-;155052345,24;263858646,82;286754377,09;288751301,63;320353107,57;343704479,44;1658474257,79
".. Impacto da psiquiatria";-;-;-;-;-;70035,33;-;-;-;-;-;70035,33
".. Inc.Financ.Serviços Residenciais Terapêuticos";-;-;-;-;-;-;-;-;10000,00;90000,00;310000,00;410000,00
".. Incent. Implantação Programa Qualificação dos C";-;-;-;-;-;-;-;-;-;28000,00;-;28000,00
".. Incent. Prog. Nacional de HIV/AIDS e outras DST";-;-;-;-;-;-;-;3347712,14;7657039,40;7715264,25;6784451,27;25504467,06
".. Incentivo (MAC) à população indígena";-;-;-;-;-;378175,00;-;-;-;-;-;378175,00
".. Incentivo - SAMU";-;-;-;-;-;-;-;-;350000,00;200000,00;-;550000,00
".. Incentivo Adicional ao CEO";-;-;-;-;-;-;-;-;120000,00;720000,00;290000,00;1130000,00
".. Leitos de UTI - extra teto";-;-;-;4706641,32;-;-;-;-;-;-;-;4706641,32
".. MAC vigilância sanitária";-;-;-;-;623244,40;1268804,84;1546472,88;1417600,14;2096927,12;1669832,21;1491199,60;10114081,19
".. Medicamentos excepcionais pacientes crônicos";-;-;-;-;12153095,39;1103633,78;7161135,33;5737127,35;42169953,83;40597580,62;63527506,49;172450032,79
".. Neurocirurgia - extra teto";-;-;-;2595633,15;-;-;-;-;-;-;-;2595633,15
".. Plano nacional de controle tuberculose";-;-;-;14379,80;94964,80;76451,20;-;-;-;-;-;185795,80
".. Programa de Especialidade Odontológica";-;-;-;-;-;-;-;-;59400,00;501600,00;574200,00;1135200,00
".. Programa de combate ao câncer de colo uterino";-;-;-;1119442,13;1174483,79;713597,46;-;-;-;-;-;3007523,38
".. Programa de radioterapia/quimioterapia";-;-;-;-;260857,76;-;-;-;-;-;-;260857,76
".. Projeto Inclusão Social Trabalho (Saúde Mental)";-;-;-;-;-;-;-;-;-;5000,00;15000,00;20000,00
".. Serviços Atendimento Móvel de Urgências - SAMU";-;-;-;-;-;-;-;-;1361000,00;5675500,00;9555000,00;16591500,00
".. Terapia renal substituitiva";-;-;-;-;7711,86;-;-;-;-;-;-;7711,86
".. Transplantes";-;-;-;3946642,98;6450129,36;4150055,56;-;-;-;-;-;14546827,90
".. Urgência e emergência - extra teto";-;-;3252796,13;1669849,59;-;-;-;-;-;-;-;4922645,72
"Transferências - atenção básica";-;-;83242999,08;119145615,45;147362045,12;164286644,42;181246984,99;198039966,55;244600576,16;271885417,30;298412719,23;1708222968,30
".. Anvisa - Taxa de fiscalização";-;-;-;-;-;969489,24;1631731,71;-;1105101,00;1820736,84;1852463,03;7379521,82
".. Apoio à população indígena";-;-;-;124100,00;1670100,00;2237950,00;3103680,00;2904000,00;3327010,00;3932810,00;4007750,00;21307400,00
".. Ações Red. Mortalidade Materna e Neonatal - PRO";-;-;-;-;-;-;-;-;-;28750,00;93939,25;122689,25
".. Ações de diagnóstico laboratorial da tuberculos";-;-;-;-;-;-;-;-;-;20000,00;-;20000,00
".. Ações vigil e prevenção doenças agravos não tra";-;-;-;-;-;-;-;-;-;343710,00;-;343710,00
".. Cadastro nacional de usuários do SUS";-;-;-;-;-;523759,45;889380,94;871795,10;306495,60;256050,30;-;2847481,39
".. Campanha de Vacinação - Tríplice Viral";-;-;-;-;-;-;-;-;103823,55;-;-;103823,55
".. Epidemiologia e controle de doenças";-;-;-;-;9147613,70;20239236,84;21075543,26;22538556,24;24671738,48;25769808,15;21406424,01;144848920,68
".. Farmácia básica";-;-;-;7443938,79;9971911,08;10069788,47;10279236,08;9515823,14;10408338,75;13481782,40;15897882,44;87068701,15
".. Financ aos Centros de Referência Saúde Trabalha";-;-;-;-;-;-;158000,00;948000,00;1446000,00;1632000,00;1194000,00;5378000,00
".. Inc. Fortalecimento Gestão de Vigilância em Saú";-;-;-;-;-;-;-;-;-;1336423,19;1956669,12;3293092,31
".. Inc. Intens. Ações Vigilância Controle Hansenía";-;-;-;-;-;-;-;-;27000,00;-;30000,00;57000,00
".. Inc. Pesq. Acidentes Violências Serviços Sentin";-;-;-;-;-;-;-;-;-;-;21129,00;21129,00
".. Inc. Realiz. Levant. Índice Rápido - Aedes Aegy";-;-;-;-;-;-;-;-;17904,06;-;-;17904,06
".. Inc. realiz. Capacitações Aprovadas no VIGISUS";-;-;-;-;-;-;-;-;-;338625,00;-;338625,00
".. Incent. Implantação dos Sistemas SIM e SINASC";-;-;-;-;-;-;-;-;143360,00;-;-;143360,00
".. Incentivo Estabelecimento de Parcerias com as O";-;-;-;-;-;-;-;-;-;842800,00;772566,63;1615366,63
".. Incentivo a ações básicas vigilância sanitária";-;-;1868330,75;2381937,86;2468426,57;2520210,85;2576978,53;2581303,71;2616880,86;2627749,68;3276786,18;22918604,99
".. Incentivo adicional PACS";-;-;-;-;-;-;1229520,00;1338000,00;1756560,00;2078100,00;2610300,00;9012480,00
".. Incentivo ações combate a carência nutricional";-;-;365085,00;2945475,00;4594747,50;4896225,00;3385035,00;-;-;-;-;16186567,50
".. Incentivo fortalec lab centr saúde pública - LA";-;-;-;-;-;-;-;-;-;569404,00;1218808,00;1788212,00
".. Incentivo para Casa de Apoio HIV/AIDS";-;-;-;-;-;-;-;-;-;127200,00;116600,00;243800,00
".. Incentivo à Farmácia Popular do Brasil";-;-;-;-;-;-;-;-;200000,00;900000,00;500000,00;1600000,00
".. Incentivo à saúde bucal";-;-;-;-;-;95583,28;1099748,36;2286498,98;5602400,00;8134700,00;9382400,00;26601330,62
".. Incentivo às Ações de Controle da Tuberculose";-;-;-;-;-;-;-;81400,00;-;157582,43;38250,00;277232,43
".. Intensific Ações Vigilância e Controle da Tuber";-;-;-;-;-;-;-;497142,60;241735,81;108370,55;-;847248,96
".. Medicamentos dos Grupos AR 0,95";-;-;-;-;-;-;-;-;-;-;6793174,08;6793174,08
".. Medicamentos dos Grupos HD 1,15";-;-;-;-;-;-;-;-;-;-;8223317,12;8223317,12
".. Medicamentos para saúde mental";-;-;-;112735,88;1241664,93;1915513,14;1361350,31;1367305,08;1367436,36;1367436,36;1253483,33;9986925,39
".. Piso de atenção básica - fixo";-;-;76662750,17;98268926,72;100425047,74;101223197,87;102960390,72;108385678,40;126033388,69;134654043,84;133643035,53;982256459,68
".. Programa Farmácia Popular do Brasil";-;-;-;-;-;-;-;-;30000,00;180000,00;780000,00;990000,00
".. Programa Financ. Ações Alimentação Nutrição (FA";-;-;-;-;-;-;-;-;-;-;200000,00;200000,00
".. Programa agentes comunitários de saúde";-;-;3178250,08;5727700,64;8959725,60;8533599,98;11805000,08;14924120,00;15979040,00;23671460,00;27138500,00;119917396,38
".. Programa de Expansão do PROESF - PLUS";-;-;-;-;-;-;-;-;-;177000,00;-;177000,00
".. Programa de Expansão do PSF - PROESF";-;-;-;-;-;-;-;128400,00;4215961,00;3301432,20;199399,13;7845192,33
".. Programa de Saúde da Família";-;-;1168583,08;2140800,56;8882808,00;10793146,00;19691390,00;29406758,00;44746182,00;43569060,00;54716601,00;215115328,64
