 Recursos Federais do SUS (por Município) - Conceito de Período de Competência - Santa Catarina
Valor despendido por Tipo de Despesa e Ano Competência
Período:Dez/1996-Dez/2006
"Tipo de Despesa";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
"Remuneração por serviços produzidos";9464204,34;124542560,99;124557043,02;154540093,52;-;-;-;-;-;-;-;413103901,87
".. Atendimento ambulatorial (MS)";5051275,91;63896611,58;56259752,10;70229042,04;-;-;-;-;-;-;-;195436681,63
".. Internações hospitalares (MS)";4412928,43;60645949,41;68297290,92;84311051,48;-;-;-;-;-;-;-;217667220,24
"Transferências - média e alta complexidade";8384601,25;101113255,00;94625097,20;112344388,89;245976780,93;290971476,83;301663872,93;316698610,96;375923033,14;389820638,02;410142650,70;2647664405,85
".. Antígeno HLA";-;-;-;-;151612,00;260786,53;-;-;-;-;-;412398,53
".. Assistência hospitalar e ambulatorial (MAC)";6707681,00;80890604,00;85438446,12;107656708,01;230102310,38;112370299,46;-;-;-;-;-;623166048,97
".. Ações Judiciais de Medicamentos";-;-;-;-;-;-;-;-;-;1746,46;-;1746,46
".. CAPS AD - Incent. Cust. Centros At. Psicossocia";-;-;-;-;-;-;-;-;-;100000,00;50000,00;150000,00
".. CAPS I - Incent. Cust. Centros At. Psicossocial";-;-;-;-;-;-;-;220000,00;100000,00;280000,00;60000,00;660000,00
".. CAPS II - Incent. Cust. Centros At. Psicossocia";-;-;-;-;-;-;-;300000,00;60000,00;10000,00;9000,00;379000,00
".. CAPS IN - Incent. Cust. Centros At. Psicossocia";-;-;-;-;-;-;-;60000,00;30000,00;60000,00;-;150000,00
".. Campanha de acompanhamento pós-transplantes";-;-;-;-;-;26535,00;-;-;-;-;-;26535,00
".. Campanha de cirurgia da catarata";-;-;-;360610,00;304493,43;143451,72;348683,42;2028346,60;2288957,96;2298223,63;288317,59;8061084,35
".. Campanha de cirurgia da próstata";-;-;-;51078,40;99774,05;192558,84;-;-;-;-;-;343411,29
".. Campanha de cirurgia de hérnia inguinal";-;-;-;179410,84;-;-;-;-;-;-;-;179410,84
".. Campanha de cirurgia de varizes";-;-;-;74172,30;323806,90;474851,55;-;-;-;-;-;872830,75
".. Campanha de quimioterapia";-;-;-;-;43967,68;10405,93;-;-;-;-;-;54373,61
".. Campanha de radioterapia";-;-;-;-;365717,40;1094908,66;-;-;-;-;-;1460626,06
".. Campanha de retinopatia diabética";-;-;-;-;34027,42;19376,00;-;-;-;-;-;53403,42
