 Recursos Federais do SUS (por Município) - Conceito de Período de Competência - São Paulo
Valor despendido por Tipo de Despesa e Ano Competência
Período:Dez/1996-Dez/2006
"Tipo de Despesa";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
"Remuneração por serviços produzidos";114262243,60;1558701277,77;1514025170,93;1718600471,43;1815189036,25;1971480977,71;2201751819,02;1420369727,68;-;-;-;12314380724,39
".. Atendimento ambulatorial (MS)";62249802,82;868123755,82;814316474,29;851889803,08;999069145,77;1124969042,82;1281749437,82;847372356,86;-;-;-;6849739819,28
".. Internações hospitalares (MS)";52012440,78;690577521,95;699708696,64;866710668,35;816119890,48;846511934,89;920002381,20;572997370,82;-;-;-;5464640905,11
"Transferências - média e alta complexidade";31908132,51;385542052,62;537255931,70;699189915,63;791239101,18;1106866385,42;1120099595,36;1861870011,53;3105940178,65;3463602960,92;3436156935,26;16539671200,78
".. Antígeno HLA";-;-;-;-;113186,43;83738,60;-;-;-;-;-;196925,03
".. Apoio Mudança Graduação na Área de Saúde";-;-;-;-;-;-;-;-;3076351,91;2398787,37;-;5475139,28
".. Assistência hospitalar e ambulatorial (MAC)";25526506,01;308433642,12;487098898,76;670995730,49;659620314,04;302811986,53;-;-;-;94241,27;-;2454581319,22
".. CAPS AD - Incent. Cust. Centros At. Psicossocia";-;-;-;-;-;-;-;-;480000,00;800000,00;200000,00;1480000,00
".. CAPS I - Incent. Cust. Centros At. Psicossocial";-;-;-;-;-;-;-;460000,00;240000,00;300000,00;43000,00;1043000,00
".. CAPS II - Incent. Cust. Centros At. Psicossocia";-;-;-;-;-;-;-;900000,00;270000,00;430000,00;216000,00;1816000,00
".. CAPS III - Incent. Cust. Centros At. Psicossoci";-;-;-;-;-;-;-;700000,00;50000,00;100000,00;3000,00;853000,00
".. CAPS IN - Incent. Cust. Centros At. Psicossocia";-;-;-;-;-;-;-;330000,00;30000,00;300000,00;63000,00;723000,00
".. Campanha de acompanhamento pós-transplantes";-;-;-;-;-;18730,00;-;-;-;-;-;18730,00
".. Campanha de cirurgia cardiovascular";-;-;-;-;-;253207,06;-;-;-;-;-;253207,06
".. Campanha de cirurgia da catarata";-;-;-;4632060,00;1961805,36;2181528,71;1506830,42;15576018,88;28196825,51;25515159,38;3983742,03;83553970,29
".. Campanha de cirurgia da próstata";-;-;-;198231,32;191187,93;402410,97;-;-;-;-;-;791830,22
".. Campanha de cirurgia de hérnia inguinal";-;-;-;290515,45;-;-;-;-;-;-;-;290515,45
".. Campanha de cirurgia de varizes";-;-;-;331486,64;328854,67;414445,09;-;-;-;-;-;1074786,40
".. Campanha de pré-natal";-;-;-;-;-;10550,00;-;-;-;-;-;10550,00
".. Campanha de quimioterapia";-;-;-;-;-;157535,46;-;-;-;-;-;157535,46
".. Campanha de radioterapia";-;-;-;-;-;3075264,86;-;-;-;-;-;3075264,86
".. Campanha de retinopatia diabética";-;-;-;-;123148,20;71568,00;-;-;-;-;-;194716,20
".. Campanha de vacinação";-;-;-;-;-;1297823,75;442016,37;-;-;-;-;1739840,12
".. Campanha de vacinação anti-rábica";-;-;-;-;1135750,00;1135750,00;2207983,63;1510553,75;1642750,00;1529303,75;1510553,75;10672644,88
".. Campanha de vacinação do idoso";-;-;-;-;-;-;-;517778,70;524183,25;538707,45;546107,40;2126776,80
".. Cirurgia de deformidade crânio-facial";-;-;-;25034,20;44667,97;19494,32;-;-;-;-;-;89196,49
".. Cirurgia de mama";-;-;-;1281,07;-;-;-;-;-;-;-;1281,07
".. Cirurgia oncológica";-;-;-;-;1445306,21;739017,52;-;-;-;-;-;2184323,73
".. Co-financ carga viral HIV e TCD4/CD8";-;-;-;-;-;7569366,91;13785907,34;15163343,49;3831393,96;-;-;40350011,70
".. Co-financ para custeio assist unidades próprias";-;-;-;-;-;219737876,88;198533015,68;-;-;-;-;418270892,56
".. Complemento teto financeiro - plena";-;-;12874213,75;6927311,41;-;-;-;-;-;-;-;19801525,16
".. Câmara de compensação de alta complexidade";-;-;1087428,15;505029,25;415115,19;-;-;-;-;-;-;2007572,59
".. Fator de recomposição 25% (plena)";6381626,50;77108410,50;30777932,19;-;-;-;-;-;-;-;-;114267969,19
".. Financ atividades cadastr avaliação estab saúde";-;-;-;-;-;88180,00;-;-;-;-;-;88180,00
".. Formação de Recursos Humanos";-;-;-;-;-;-;-;-;1940974,76;1936091,39;-;3877066,15
".. Gestantes de alto risco - extra teto";-;-;-;1398629,70;-;-;-;-;-;-;-;1398629,70
".. Gestão plena do sistema estadual (NOAS)";-;-;-;-;-;-;-;594916439,29;1361074177,86;1519020632,33;1558625018,01;5033636267,49
".. Gestão plena sistema municipal - alta complexid";-;-;-;-;-;82613209,77;80501083,86;-;-;-;-;163114293,63
".. Gestão plena sistema municipal - média complex";-;-;-;-;-;350601853,57;648867454,58;994991928,95;1300934363,70;1355879336,47;1273521378,01;5924796315,28
".. Impacto da psiquiatria";-;-;-;-;-;542592,25;-;-;-;-;-;542592,25
".. Inc.Financ.Serviços Residenciais Terapêuticos";-;-;-;-;-;-;-;-;430000,00;1090000,00;120000,00;1640000,00
".. Incent. Implantação Programa Qualificação dos C";-;-;-;-;-;-;-;-;-;80000,00;-;80000,00
".. Incent. Prog. Nacional de HIV/AIDS e outras DST";-;-;-;-;-;-;-;19994432,31;29615470,29;30062002,32;24413932,62;104085837,54
".. Incentivo (MAC) à população indígena";-;-;-;-;-;118717,00;-;-;-;-;-;118717,00
".. Incentivo - SAMU";-;-;-;-;-;-;-;-;1550000,00;700000,00;550000,00;2800000,00
".. Incentivo Adicional ao CEO";-;-;-;-;-;-;-;-;390000,00;3600000,00;1510000,00;5500000,00
".. Leitos de UTI - extra teto";-;-;-;3102525,06;-;-;-;-;-;-;-;3102525,06
".. MAC vigilância sanitária";-;-;-;-;2238546,25;4591869,14;5644515,96;5174139,63;10509042,60;5971092,77;5606908,35;39736114,70
".. Medicamentos excepcionais pacientes crônicos";-;-;-;-;118536386,92;125534066,93;168610787,52;211635376,53;353847544,81;476039506,42;522076995,09;1976280664,22
".. Medicamentos excepcionais para transplantes";-;-;-;743582,96;-;-;-;-;-;-;-;743582,96
".. Neurocirurgia - extra teto";-;-;-;2412775,86;-;-;-;-;-;-;-;2412775,86
".. Plano nacional de controle tuberculose";-;-;-;154681,60;742999,60;337473,60;-;-;-;-;-;1235154,80
".. Programa de Especialidade Odontológica";-;-;-;-;-;-;-;-;204600,00;2998600,00;6234800,00;9438000,00
".. Programa de combate ao câncer de colo uterino";-;-;-;2158262,16;2737790,67;1715269,63;-;-;-;-;-;6611322,46
".. Programa de radioterapia/quimioterapia";-;-;-;-;502045,40;-;-;-;-;-;-;502045,40
".. Projeto Inclusão Social Trabalho (Saúde Mental)";-;-;-;-;-;-;-;-;-;25000,00;35000,00;60000,00
".. Serviços Atendimento Móvel de Urgências - SAMU";-;-;-;-;-;-;-;-;7102500,00;34194500,00;36897500,00;78194500,00
".. Terapia renal substituitiva";-;-;-;-;49196,72;-;-;-;-;-;-;49196,72
".. Transplantes";-;-;-;698740,29;1052799,62;742858,87;-;-;-;-;-;2494398,78
".. Urgência e emergência - extra teto";-;-;5417458,85;4614038,17;-;-;-;-;-;-;-;10031497,02
"Transferências - atenção básica";-;-;204848689,34;396403993,15;518966198,05;575832453,08;651221567,11;754746059,61;841905397,14;921578451,66;1010240514,66;5875743323,80
".. 5º Mostra Nac. Prev. Controle Doenças - EXPOEPI";-;-;-;-;-;-;-;-;-;-;60000,00;60000,00
".. Anvisa - Taxa de fiscalização";-;-;-;-;-;5307439,44;9830009,94;9641410,00;5454777,90;13129474,80;12611047,59;55974159,67
".. Apoio à população indígena";-;-;-;-;-;-;-;3840,00;19560,00;20400,00;239400,00;283200,00
".. Ações Red. Mortalidade Materna e Neonatal - PRO";-;-;-;-;-;-;-;-;-;839450,00;-;839450,00
".. Ações de diagnóstico laboratorial da tuberculos";-;-;-;-;-;-;-;-;-;45250,00;-;45250,00
".. Ações de vigilância ambiental";-;-;-;-;-;-;-;-;-;75000,00;-;75000,00
".. Ações vigil e prevenção doenças agravos não tra";-;-;-;-;-;-;-;-;-;440565,00;-;440565,00
".. Cadastro nacional de usuários do SUS";-;-;-;-;-;1728121,24;2701623,07;1409158,00;477119,90;833276,80;-;7149299,01
".. Campanha de Vacinação - Tríplice Viral";-;-;-;-;-;-;-;-;401669,55;-;-;401669,55
".. Epidemiologia e controle de doenças";-;-;-;-;49815434,06;77625012,52;81795029,65;85600344,44;88278777,01;91423591,83;81410412,95;555948602,46
