 Valores aprovados da produção SUS (por Prestador) - Conceito de Período de Competência - Tocantins
Valor bruto por Tipo de Despesa e Ano Competência
Período:Dez/1996-Dez/2007
"Tipo de Despesa";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"Intern.Hosp. (Pago p/MS)";1289972,92;16408743,19;19748726,36;22618925,72;26143804,64;29089714,25;34776207,89;37214046,53;35766966,55;-;-;-;223057108,05
"Atend.Ambul. (Pago p/MS)";1572101,18;18455532,18;12572736,03;14325248,43;17511788,41;22411632,68;27512108,60;32281578,83;30052431,15;-;-;-;176695157,49
"Intern.Hosp. (Pago p/mun)";22051,72;205645,80;1688684,27;5992440,20;6288855,67;4533922,05;374770,38;475782,55;665430,66;681333,90;570037,95;780475,67;22279430,82
"Atend.Ambul. (Pago p/mun)";-;272523,43;9419703,82;15235766,05;18356712,63;5404510,77;5609472,51;7506307,84;9465596,24;9642438,90;10039413,58;11300546,76;102252992,53
"Intern.Hosp. (Pago p/est)";-;-;-;-;-;-;-;-;7486782,20;47503387,51;50074795,90;50554226,92;155619192,53
"Atend.Ambul. (Pago p/est)";-;-;-;-;-;-;-;-;5803854,66;39285496,89;44455749,81;43913738,52;133458839,88
"Total";2884125,82;35342444,60;43429850,48;58172380,40;68301161,35;61439779,75;68272559,38;77477715,75;89241061,46;97112657,20;105139997,24;106548987,87;813362721,30
 Fonte: Ministério da Saúde - SIH/SUS, SIA/SUS e Fundo Nacional de Saúde
 Observação: Os estabelecimentos assinalados com asterisco indicam que, para esta raiz de CGC, há outros estabelecimentos
 cadastrados com razão social diferente. Veja as Notas Técnicas.
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
