 Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030
População residente por Unidade da Federação e Faixa Etária 1
Período:2009
"Unidade da Federação";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Total"
"11 Rondônia";154445;163927;161518;163995;162510;157184;135337;118476;107716;91629;70459;52054;36386;26251;18363;11247;5882;2339;889;1640607
"12 Acre";89420;88659;82563;74739;68617;66147;54850;44817;37229;29929;24514;18589;13340;10025;7033;4666;2917;1308;770;720132
"13 Amazonas";418820;414700;406179;376600;344025;331524;279509;229142;185722;157705;121564;90258;61718;44694;32165;20746;11554;5322;2509;3534456
"14 Roraima";53903;55427;51989;47956;43832;41075;34083;29160;25155;20947;16172;11764;7749;4848;3268;1890;1097;468;186;450969
"15 Pará";831347;839583;816504;777316;736319;704679;587368;496514;414305;346697;284225;219570;157802;119084;84047;54140;30776;13983;7397;7521656
"16 Amapá";83669;85382;77559;70198;64899;61588;52130;45020;35486;28203;21410;15265;10074;7370;4920;3141;1701;796;549;669360
"17 Tocantins";142948;148145;142493;139026;136712;131558;111684;93836;82690;68696;55206;43836;33427;25172;18805;12174;7126;3345;1455;1398334
"21 Maranhão";753035;747330;689356;658511;655626;619802;484287;383439;334225;290380;240481;194593;148884;117900;90039;59184;34338;19245;12372;6533027
"22 Piauí";296465;321520;293721;291945;311161;302401;245924;196884;181361;162163;135369;111274;87855;67727;52099;33032;21018;9844;4155;3125918
"23 Ceará";766911;831950;838145;834127;823489;768852;646566;564632;521800;455161;352319;296292;242817;184373;149870;96692;69967;34802;14390;8493155
"24 Rio Grande do Norte";283000;301987;294275;301399;312879;299331;252710;223270;212054;186127;139087;110994;95822;70412;55869;36579;28013;15130;7321;3226259
"25 Paraíba";341344;351954;340632;348437;360843;354727;298492;252813;235046;205165;162662;138607;118163;92468;75347;47866;34636;18150;8246;3785598
"26 Pernambuco";799967;850568;828381;815548;824743;822092;721746;632097;562202;491878;398676;326737;264116;198827;155527;99887;66046;32291;15159;8906488
"27 Alagoas";329796;345648;334533;311506;298570;294689;251376;210499;186654;158509;129165;106363;81520;61363;44766;29600;17646;8619;4969;3205791
"28 Sergipe";194910;213066;206322;201605;201947;197811;170079;146641;131501;110313;86349;69242;53746;39844;28880;19531;12503;6192;3025;2093507
"29 Bahia";1282462;1354986;1382779;1362789;1391759;1460757;1216185;1011970;906485;789221;658862;519129;410980;316207;242664;164318;106950;54049;33258;14665810
"31 Minas Gerais";1506462;1637498;1689368;1724117;1775040;1820525;1621377;1421398;1371765;1287779;1094327;871212;665705;504546;394203;277253;170195;81451;53339;19967560
"32 Espírito Santo";285976;305678;314560;319426;334648;340762;304807;266838;251811;232847;198901;154254;106786;78532;61557;44179;27077;12290;7146;3648075
"33 Rio de Janeiro";1117133;1228932;1312695;1270506;1259954;1343714;1286377;1189579;1131268;1105361;980607;807311;613792;436113;349270;253847;163925;77078;41630;15969092
"35 São Paulo";3118982;3342358;3359463;3433753;3658703;3784651;3523572;3236780;3014445;2791949;2413060;1941573;1457180;1034629;798357;559654;360550;163592;82465;42075716
"41 Paraná";816284;879334;920621;936279;922209;919594;842106;791050;766282;696445;578726;470240;359900;268324;200194;135994;80346;35775;16362;10636065
"42 Santa Catarina";447637;485188;532611;560321;569588;560719;491498;466972;463022;434026;353133;282241;207514;146529;108729;72721;44390;20398;9936;6257173
"43 Rio Grande do Sul";751616;832293;875285;891735;903817;929360;812043;756001;778194;782463;684998;569912;445795;329096;250171;179365;112465;52541;27921;10965071
"50 Mato Grosso do Sul";217219;221037;222294;225863;222146;220189;195425;179546;166346;151276;121781;94826;70246;52303;39356;25774;15031;7216;4165;2452039
"51 Mato Grosso";272853;276937;275817;284743;284509;279978;252886;228270;206543;179240;141934;105924;76299;54582;38003;23356;12700;5387;3349;3003310
"52 Goiás";490199;532942;536368;545926;558286;567581;525705;468511;425838;368611;296035;230795;172957;126483;93893;59756;34002;15853;7626;6057367
"53 Distrito Federal";203017;205143;220555;229860;245767;265533;245134;209231;178305;147495;117321;92292;65351;44811;32948;19250;11664;5288;2469;2541434
"Total";16049820;17062172;17206586;17198226;17472598;17646823;15643256;13893386;12913450;11770215;9877343;7945147;6065924;4462513;3430343;2345842;1484515;702752;373058;193543969
 Fonte:
 
 IBGE/Diretoria de Pesquisas. Coordenação de População e Indicadores Sociais. Gerência de Estudos e Análises da Dinâmica Demográfica.
 Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030
 
