 Óbitos infantis - São Paulo - Dados preliminares
Óbitos p/Residênc por Região de Saúde (CIR) e Ano do Óbito
Período:2019
"Região de Saúde (CIR)";"2019";"Total"
"35011 Alto do Tietê";525;525
"35012 Franco da Rocha";90;90
"35013 Mananciais";186;186
"35014 Rota dos Bandeirantes";362;362
"35015 Grande ABC";320;320
"35016 São Paulo";1778;1778
"35021 Central do DRS II";40;40
"35022 Lagos do DRS II";26;26
"35023 Consórcios do DRS II";35;35
"35031 Central do DRS III";33;33
"35032 Centro Oeste do DRS III";16;16
"35033 Norte do DRS III";20;20
"35034 Coração do DRS III";36;36
"35041 Baixada Santista";333;333
"35051 Norte - Barretos";44;44
"35052 Sul - Barretos";12;12
"35061 Vale do Jurumirim";43;43
"35062 Bauru";98;98
"35063 Polo Cuesta";43;43
"35064 Jaú";40;40
"35065 Lins";20;20
"35071 Bragança";65;65
"35072 Região Metropolitana de Campinas";368;368
"35073 Jundiaí";118;118
"35074 Circuito das Águas";13;13
"35081 Três Colinas";42;42
"35082 Alta Anhanguera";17;17
"35083 Alta Mogiana";14;14
"35091 Adamantina";12;12
"35092 Assis";27;27
"35093 Marília";58;58
"35094 Ourinhos";28;28
"35095 Tupã";15;15
"35101 Araras";41;41
"35102 Limeira";46;46
"35103 Piracicaba";67;67
"35104 Rio Claro";32;32
"35111 Alta Paulista";18;18
"35112 Alta Sorocabana";47;47
"35113 Alto Capivari";8;8
"35114 Extremo Oeste Paulista";6;6
"35115 Pontal do Paranapanema";6;6
"35121 Vale do Ribeira";50;50
"35131 Horizonte Verde";77;77
"35132 Aquífero Guarani";121;121
"35133 Vale das Cachoeiras";18;18
"35141 Baixa Mogiana";41;41
"35142 Mantiqueira";39;39
"35143 Rio Pardo";24;24
"35151 Catanduva";32;32
"35152 Santa Fé do Sul";3;3
"35153 Jales";10;10
"35154 Fernandópolis";9;9
"35155 São José do Rio Preto";72;72
"35156 José Bonifácio";10;10
"35157 Votuporanga";20;20
"35161 Itapetininga";79;79
"35162 Itapeva";67;67
"35163 Sorocaba";266;266
"35171 Alto Vale do Paraíba";142;142
"35172 Circuito da Fé e Vale Histórico";70;70
"35173 Litoral Norte";56;56
"35174 Vale do Paraíba/Região Serrana";85;85
"Total";6439;6439
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 Dados de 2019 atualizados em 29/06/2020.
 *Data da publicação dos dados 08/2020.
 
