"Mês Ano";"Programa Orçamentário";"Ação Orçamentária";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"02/2014";"0351 - AGRICULTURA FAMILIAR - PRONAF";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"149.564,18";
"09/2014";"0351 - AGRICULTURA FAMILIAR - PRONAF";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"1.469,65";
"05/2014";"0351 - AGRICULTURA FAMILIAR - PRONAF";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"33.917,34";
"09/2014";"0135 - ASSENTAMENTOS PARA TRABALHADORES RURAIS";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"924,54";
"05/2014";"1220 - ASSISTÊNCIA AMBULATORIAL E HOSPITALAR ESPECIALIZADA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"675,45";
"03/2014";"1220 - ASSISTÊNCIA AMBULATORIAL E HOSPITALAR ESPECIALIZADA";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"285,00";
"10/2014";"1214 - ATENÇÃO BÁSICA EM SAÚDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"3.530,65";
"05/2014";"1214 - ATENÇÃO BÁSICA EM SAÚDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"467,21";
"01/2014";"1214 - ATENÇÃO BÁSICA EM SAÚDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"4.505,42";
"04/2014";"1214 - ATENÇÃO BÁSICA EM SAÚDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"2.360,75";
"03/2014";"1214 - ATENÇÃO BÁSICA EM SAÚDE";"4641 - PUBLICIDADE DE UTILIDADE PUBLICA";"0,00";"0,00";"0,00";"4.610,24";
