 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Município e Faixa Etária 1
Período:2020
"Município";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";1633;1615;1616;1703;3769;3577;3106;2903;1698;791;317;22728
"110037 Alto Alegre dos Parecis";1143;1042;982;1129;2299;1877;1939;1464;826;421;133;13255
"110040 Alto Paraíso";1875;1793;1647;1825;3751;3275;3210;2316;1317;633;205;21847
"110034 Alvorada D'Oeste";1032;1004;982;1038;2260;2116;2048;1743;1169;502;212;14106
"110002 Ariquemes";8337;8162;8416;9792;19852;18540;14786;11308;6452;2822;1056;109523
"110045 Buritis";3619;3365;3227;3595;6994;6378;5338;3653;2531;1277;379;40356
"110003 Cabixi";389;385;348;305;763;772;791;712;458;188;77;5188
"110060 Cacaulândia";542;497;456;508;1011;926;847;681;468;243;90;6269
"110004 Cacoal";5861;5934;6196;6577;14558;14501;12221;9866;6194;2788;1197;85893
"110070 Campo Novo de Rondônia";1345;1217;1087;1211;2403;2228;2062;1427;845;339;102;14266
"110080 Candeias do Jamari";2706;2412;2197;2389;4806;4389;3634;2501;1465;681;208;27388
"110090 Castanheiras";198;190;173;199;495;429;472;420;235;133;43;2987
"110005 Cerejeiras";1083;1111;1113;1138;2688;2638;2249;2133;1195;614;242;16204
"110092 Chupinguaia";1088;1006;949;1020;2186;1842;1603;1037;472;212;57;11472
"110006 Colorado do Oeste";1041;1044;1036;1007;2373;2518;2257;1974;1338;665;291;15544
"110007 Corumbiara";501;492;453;491;1278;1173;1140;851;487;253;101;7220
"110008 Costa Marques";1987;1786;1593;1730;3571;2903;2381;1545;840;345;117;18798
"110094 Cujubim";2690;2413;2255;2593;4807;4242;3401;2212;1086;387;97;26183
"110009 Espigão D'Oeste";2559;2507;2519;2571;5441;5332;4680;3497;2213;1003;373;32695
"110100 Governador Jorge Teixeira";571;529;479;559;1198;1141;1099;901;562;296;110;7445
"110010 Guajará-Mirim";4365;4197;4119;4269;8050;6983;5919;4434;2470;1223;527;46556
"110110 Itapuã do Oeste";1036;969;863;806;1941;1531;1425;1029;661;291;89;10641
"110011 Jaru";3848;3769;3771;4224;8636;8876;7196;5376;3469;1696;759;51620
"110012 Ji-Paraná";9340;9393;9897;10518;21773;22088;18081;14516;9005;3824;1574;130009
"110013 Machadinho D'Oeste";3717;3584;3376;3434;6993;6464;5572;3926;2444;1032;325;40867
"110120 Ministro Andreazza";776;771;734;737;1594;1459;1327;1043;654;328;136;9559
"110130 Mirante da Serra";819;774;720;895;1822;1616;1516;1133;872;434;217;10818
"110140 Monte Negro";1361;1277;1169;1352;2737;2354;2224;1674;1103;553;203;16007
"110014 Nova Brasilândia D'Oeste";1465;1410;1372;1549;3558;3184;3180;2346;1480;698;247;20489
"110033 Nova Mamoré";3072;2883;2659;2835;5294;4866;4355;2870;1611;700;247;31392
"110143 Nova União";519;514;508;524;1209;982;1050;800;488;221;80;6895
"110050 Novo Horizonte do Oeste";583;584;550;529;1274;1202;1302;1131;695;346;133;8329
"110015 Ouro Preto do Oeste";2491;2491;2534;2727;5792;5951;4930;4305;2624;1326;566;35737
"110145 Parecis";538;513;501;496;1053;1058;784;692;349;162;52;6198
"110018 Pimenta Bueno";2659;2691;2864;3098;6397;6367;5050;3962;2370;1038;385;36881
"110146 Pimenteiras do Oeste";218;184;159;161;343;317;313;240;140;57;16;2148
"110020 Porto Velho";40615;39776;42312;46967;98492;100241;74139;52863;29476;10725;3748;539354
"110025 Presidente Médici";1219;1228;1219;1281;2812;2913;2723;2423;1614;786;353;18571
"110147 Primavera de Rondônia";189;187;162;195;461;395;410;380;228;119;50;2776
"110026 Rio Crespo";309;295;266;289;588;563;569;483;266;123;53;3804
"110028 Rolim de Moura";3910;3891;3999;4515;9596;9621;7813;6109;3639;1633;681;55407
"110029 Santa Luzia D'Oeste";405;415;409;391;949;988;915;884;514;239;107;6216
"110148 São Felipe D'Oeste";337;327;300;320;772;766;770;655;465;257;97;5066
"110149 São Francisco do Guaporé";1871;1725;1617;1762;3696;3069;2816;1982;1230;699;214;20681
"110032 São Miguel do Guaporé";1902;1796;1695;1893;4183;3689;3207;2395;1439;657;221;23077
"110150 Seringueiras";925;862;805;1017;2090;1783;1709;1307;815;381;157;11851
"110155 Teixeirópolis";279;285;277;286;660;643;602;582;309;215;95;4233
"110160 Theobroma";831;792;716;747;1634;1543;1590;1146;791;439;166;10395
"110170 Urupá";824;782;762;817;1751;1835;1626;1317;949;451;158;11272
"110175 Vale do Anari";981;881;780;867;1848;1715;1652;1276;829;408;140;11377
"110180 Vale do Paraíso";471;464;436;463;1091;972;1019;868;522;254;96;6656
"110030 Vilhena";7850;7724;8011;8644;18001;17815;14090;10517;6052;2580;927;102211
"120001 Acrelândia";1434;1431;1346;1406;2970;2241;1949;1362;778;423;150;15490
"120005 Assis Brasil";848;825;820;746;1292;1050;859;535;328;159;72;7534
"120010 Brasiléia";2268;2366;2472;2580;4878;4107;3372;2265;1325;732;337;26702
"120013 Bujari";969;964;919;977;1898;1451;1316;878;648;304;96;10420
"120017 Capixaba";1193;1144;1035;1195;2362;1474;1398;1092;649;349;117;12008
"120020 Cruzeiro do Sul";8776;8969;9351;9492;16271;13655;9994;5786;3642;2122;1014;89072
"120025 Epitaciolândia";1582;1659;1768;1852;3443;2760;2272;1651;949;520;240;18696
"120030 Feijó";4164;4221;4143;3951;6222;4480;3274;2226;1197;721;285;34884
"120032 Jordão";1421;1227;1103;1042;1553;1023;634;261;129;51;29;8473
"120033 Mâncio Lima";2191;2170;2054;1907;3459;2845;2002;1203;810;466;204;19311
"120034 Manoel Urbano";1124;1080;1017;995;1738;1397;1030;583;352;171;94;9581
"120035 Marechal Thaumaturgo";2858;2680;2519;2402;3601;2310;1447;783;402;210;87;19299
"120038 Plácido de Castro";1843;1921;1887;1872;3372;2697;2387;1943;1176;593;264;19955
"120080 Porto Acre";1723;1752;1675;1822;3441;2506;2228;1657;1063;677;280;18824
"120039 Porto Walter";1971;1841;1569;1389;2111;1461;976;503;250;116;54;12241
"120040 Rio Branco";31122;33561;38924;41815;76469;68372;53047;34907;21070;9799;4332;413418
"120042 Rodrigues Alves";2533;2340;2140;2282;3549;2565;1966;1042;531;298;105;19351
"120043 Santa Rosa do Purus";1104;884;778;834;1250;885;488;326;110;47;11;6717
"120050 Sena Madureira";4490;4473;4660;4966;8731;7506;5218;3092;1857;1039;479;46511
"120045 Senador Guiomard";2062;2112;2148;2247;4017;3404;2905;1966;1374;693;308;23236
"120060 Tarauacá";5535;5439;5331;4863;7652;5457;3745;2483;1399;846;401;43151
"120070 Xapuri";1772;1805;1815;1922;3676;2895;2291;1607;988;568;257;19596
"130002 Alvarães";2420;2183;1873;1709;2866;2017;1441;896;462;251;102;16220
"130006 Amaturá";1479;1437;1291;1056;2323;1708;1197;675;338;167;65;11736
"130008 Anamã";1586;1489;1311;1355;2768;2148;1583;897;449;249;121;13956
"130010 Anori";2503;2471;2211;1988;4247;3315;2295;1262;652;357;176;21477
"130014 Apuí";1868;1802;1671;1901;4684;4059;2791;1914;1103;450;116;22359
"130020 Atalaia do Norte";2588;2430;2309;2079;4167;3104;1760;1040;529;275;117;20398
"130030 Autazes";4865;4710;4052;3588;7119;5284;4210;3207;1805;993;457;40290
"130040 Barcelos";2464;2606;2533;2699;6110;4261;2719;2170;1348;564;164;27638
"130050 Barreirinha";4567;4325;3520;3107;5901;3910;2889;2017;1224;655;368;32483
"130060 Benjamin Constant";5773;5778;5540;4382;7719;5847;3767;2604;1405;746;374;43935
"130063 Beruri";2882;2657;2238;2039;3384;2528;1780;1308;737;367;173;20093
"130068 Boa Vista do Ramos";2411;2362;2038;1987;3871;2576;1898;1255;728;333;167;19626
"130070 Boca do Acre";3648;3657;3342;3105;6223;5160;4031;2602;1585;889;393;34635
"130080 Borba";5201;4879;4203;3853;7912;6046;4169;2556;1575;864;490;41748
"130083 Caapiranga";1570;1524;1353;1247;2507;1932;1431;821;532;266;100;13283
"130090 Canutama";1491;1436;1268;1296;2906;2526;2116;1385;826;416;141;15807
"130100 Carauari";3454;3383;2953;2739;5416;3950;2764;1902;1103;590;254;28508
"130110 Careiro";3904;4073;3536;3354;7169;5643;4723;2945;1789;864;348;38348
"130115 Careiro da Várzea";2876;2980;2753;2477;5389;4619;4142;2951;1526;811;322;30846
"130120 Coari";9223;9239;9063;8752;17090;13399;8674;4996;3176;1585;713;85910
"130130 Codajás";3159;3025;2723;2914;5795;4863;3070;1884;1023;495;217;29168
"130140 Eirunepé";4548;4376;3930;3397;6430;5053;3376;2231;1377;695;287;35700
"130150 Envira";2571;2540;2263;2009;3885;2898;1913;1157;623;342;192;20393
"130160 Fonte Boa";2195;2080;1923;1666;3003;2282;1571;1016;692;395;182;17005
"130165 Guajará";2126;1998;1747;1721;3201;2500;1603;1153;515;265;108;16937
"130170 Humaitá";5447;5407;5038;5262;11070;9007;6510;4288;2451;1191;473;56144
"130180 Ipixuna";4759;3892;3195;3055;4994;4611;2618;1770;892;473;177;30436
"130185 Iranduba";5248;5274;4915;4572;8314;6692;5868;3968;2431;1208;521;49011
"130190 Itacoatiara";10856;10900;9910;9063;18316;14876;12019;7956;5030;2582;1193;102701
"130195 Itamarati";1058;943;776;760;1511;1160;745;452;242;134;33;7814
"130200 Itapiranga";970;968;877;829;1683;1315;1065;715;449;253;106;9230
"130210 Japurá";276;294;288;230;410;312;227;119;51;28;16;2251
"130220 Juruá";1981;1865;1693;1644;2906;2102;1397;781;433;214;90;15106
"130230 Jutaí";2186;1887;1555;1311;2370;1731;1140;806;490;291;119;13886
"130240 Lábrea";5383;5189;4711;4475;8591;7161;4806;3243;1959;949;415;46882
"130250 Manacapuru";10459;10640;9757;9207;18317;14578;10775;7039;4310;2305;1115;98502
"130255 Manaquiri";3843;3762;3382;3197;6075;4915;3350;2474;1213;608;230;33049
"130260 Manaus";173066;182211;196275;199187;405722;377118;303661;197099;115258;49724;20259;2219580
"130270 Manicoré";6216;6191;5465;5126;11128;8576;5999;3939;2255;1181;507;56583
"130280 Maraã";2342;2360;2134;2050;3677;2537;1459;923;452;241;86;18261
"130290 Maués";8480;8145;7079;6060;11582;8762;6093;4142;2804;1181;712;65040
"130300 Nhamundá";2341;2262;1885;1820;3920;3152;2487;1732;992;566;286;21443
"130310 Nova Olinda do Norte";4209;4060;3669;3661;7389;5875;3994;2652;1501;630;386;38026
"130320 Novo Airão";2195;2184;1994;1726;3540;2950;2248;1561;925;411;194;19928
"130330 Novo Aripuanã";2677;2516;2172;2397;5082;4246;3004;1978;1138;571;265;26046
"130340 Parintins";12387;12611;11455;10575;21356;16486;12258;8428;5518;2844;1445;115363
"130350 Pauini";2496;2417;2241;2111;3613;2875;1701;1048;595;314;111;19522
"130353 Presidente Figueiredo";3756;3783;3542;3517;7321;5070;4176;3147;1958;722;201;37193
"130356 Rio Preto da Eva";3135;3110;3027;3350;6436;5246;4274;2797;1683;789;259;34106
"130360 Santa Isabel do Rio Negro";3997;3801;3521;2619;4242;3077;2009;1285;683;431;200;25865
"130370 Santo Antônio do Içá";2912;2731;2267;1972;4193;3071;1791;1109;682;346;169;21243
"130380 São Gabriel da Cachoeira";5450;5375;5129;4682;8394;5849;4548;3288;1917;1176;495;46303
"130390 São Paulo de Olivença";5113;4794;4173;3874;7513;5536;3637;2796;1364;891;382;40073
"130395 São Sebastião do Uatumã";1732;1642;1433;1461;2696;2075;1556;981;494;213;69;14352
"130400 Silves";1147;1090;924;771;1625;1141;1020;715;480;221;96;9230
"130406 Tabatinga";8159;7795;7528;6959;12033;9486;6711;4404;2428;1182;497;67182
"130410 Tapauá";1905;1794;1569;1549;3158;2561;1689;1270;911;426;183;17015
"130420 Tefé";7054;6927;6422;5940;10604;8622;6064;3764;2307;1276;567;59547
"130423 Tonantins";2575;2452;2178;1851;3766;2687;1505;950;521;285;127;18897
"130426 Uarini";1926;1732;1486;1405;2533;1823;1284;725;442;246;88;13690
"130430 Urucará";1880;1847;1560;1418;2792;1991;1771;1351;830;478;212;16130
"130440 Urucurituba";2828;2677;2308;2091;4486;3568;2340;1571;982;472;262;23585
